node_id,node
927,2002600050012_13388558	
928,2002600050012_2088	
929,2002600050012_25022354	
930,2002600050012_44137686	
931,2002600050012_5280933	
932,2002600050012_5282367	
933,2002600050012_60852	
934,2002600050012_6918182	
935,2002600050012_6918446	
936,2002600050012_9290	
937,2002600050013_10313457	
938,2002600050013_10345214	
939,2002600050013_130956	
940,2002600050013_13388558	
941,2002600050013_2088	
942,2002600050013_25022354	
943,2002600050013_44137686	
944,2002600050013_5280933	
945,2002600050013_5282367	
946,2002600050013_60852	
947,2002600050013_6918182	
948,2002600050013_6918446	
949,2002600050013_9290	
950,2002600050014_10313457	
951,2002600050014_10345214	
952,2002600050014_130956	
953,2002600050014_13388558	
954,2002600050014_2088	
955,2002600050014_25022354	
956,2002600050014_5280933	
957,2002600050014_5282367	
958,2002600050014_60852	
959,2002600050014_6918182	
960,2002600050014_6918446	
961,2002600050014_9290	
962,2002600050015_10313457	
963,2002600050015_10345214	
964,2002600050015_130956	
965,2002600050015_13388558	
966,2002600050015_2088	
967,2002600050015_25022354	
968,2002600050015_5280933	
969,2002600050015_5282367	
970,2002600050015_60852	
971,2002600050015_6918182	
972,2002600050015_6918446	
973,2002600050015_9290	
974,2002600050016_10313457	
975,2002600050016_10345214	
976,2002600050016_130956	
977,2002600050016_13388558	
978,2002600050016_2088	
979,2002600050016_25022354	
980,2002600050016_5280933	
981,2002600050016_5282367	
982,2002600050016_60852	
983,2002600050016_6918182	
984,2002600050016_6918446	
985,2002600050016_9290	
986,3000100261_10152654	
987,3000100261_10201696	
988,3000100261_10313457	
989,3000100261_10345214	
990,3000100261_130956	
991,3000100261_13109	
992,3000100261_13388558	
993,3000100261_154257	
994,3000100261_16750192	
995,3000100261_176405	
996,3000100261_179337	
997,3000100261_2088	
998,3000100261_216416	
999,3000100261_223368	
1000,3000100261_25022354	
1001,3000100261_3001028	
1002,3000100261_44137686	
1003,3000100261_444008	
1004,3000100261_5035	
1005,3000100261_5280795	
1006,3000100261_5280933	
1007,3000100261_5282367	
1008,3000100261_5283731	
1009,3000100261_57398987	
1010,3000100261_5757	
1011,3000100261_5870	
1012,3000100261_5878	
1013,3000100261_5881	
1014,3000100261_5991	
1015,3000100261_60852	
1016,3000100261_6230	
1017,3000100261_6279	
1018,3000100261_68873	
1019,3000100261_6918141	
1020,3000100261_6918182	
1021,3000100261_6918446	
1022,3000100261_6918602	
1023,3000100261_9290	
1024,3000100261_9677	
1025,3000100262_10152654	
1026,3000100262_10201696	
1027,3000100262_10313457	
1028,3000100262_10345214	
1029,3000100262_130956	
1030,3000100262_13109	
1031,3000100262_13388558	
1032,3000100262_154257	
1033,3000100262_16750192	
1034,3000100262_176405	
1035,3000100262_179337	
1036,3000100262_2088	
1037,3000100262_216416	
1038,3000100262_223368	
1039,3000100262_25022354	
1040,3000100262_3001028	
1041,3000100262_44137686	
1042,3000100262_444008	
1043,3000100262_5035	
1044,3000100262_5280795	
1045,3000100262_5280933	
1046,3000100262_5282367	
1047,3000100262_5283731	
1048,3000100262_57398987	
1049,3000100262_5757	
1050,3000100262_5870	
1051,3000100262_5878	
1052,3000100262_5881	
1053,3000100262_5991	
1054,3000100262_60852	
1055,3000100262_6230	
1056,3000100262_6279	
1057,3000100262_68873	
1058,3000100262_6918141	
1059,3000100262_6918182	
1060,3000100262_6918446	
1061,3000100262_6918602	
1062,3000100262_9290	
1063,3000100262_9677	
1064,3000100263_10152654	
1065,3000100263_10201696	
1066,3000100263_10313457	
1067,3000100263_10345214	
1068,3000100263_130956	
1069,3000100263_13109	
1070,3000100263_13388558	
1071,3000100263_154257	
1072,3000100263_16750192	
1073,3000100263_176405	
1074,3000100263_179337	
1075,3000100263_2088	
1076,3000100263_216416	
1077,3000100263_223368	
1078,3000100263_25022354	
1079,3000100263_3001028	
1080,3000100263_44137686	
1081,3000100263_444008	
1082,3000100263_5035	
1083,3000100263_5280795	
1084,3000100263_5280933	
1085,3000100263_5282367	
1086,3000100263_5283731	
1087,3000100263_57398987	
1088,3000100263_5757	
1089,3000100263_5870	
1090,3000100263_5878	
1091,3000100263_5881	
1092,3000100263_5991	
1093,3000100263_60852	
1094,3000100263_6230	
1095,3000100263_6279	
1096,3000100263_68873	
1097,3000100263_6918141	
1098,3000100263_6918182	
1099,3000100263_6918446	
1100,3000100263_6918602	
1101,3000100263_9290	
1102,3000100263_9677	
1103,3000250018_10152654	
1104,3000250018_10201696	
1105,3000250018_10313457	
1106,3000250018_10345214	
1107,3000250018_130956	
1108,3000250018_13109	
1109,3000250018_13388558	
1110,3000250018_154257	
1111,3000250018_16750192	
1112,3000250018_176405	
1113,3000250018_179337	
1114,3000250018_2088	
1115,3000250018_216416	
1116,3000250018_223368	
1117,3000250018_25022354	
1118,3000250018_3001028	
1119,3000250018_44137686	
1120,3000250018_444008	
1121,3000250018_5035	
1122,3000250018_5280795	
1123,3000250018_5280933	
1124,3000250018_5282367	
1125,3000250018_5283731	
1126,3000250018_57398987	
1127,3000250018_5757	
1128,3000250018_5870	
1129,3000250018_5878	
1130,3000250018_5881	
1131,3000250018_5991	
1132,3000250018_60852	
1133,3000250018_6230	
1134,3000250018_6279	
1135,3000250018_68873	
1136,3000250018_6918141	
